time,power
482,-71.57886507
483,-57.60184673
484,-75.77623498
485,-78.78692498
486,-51.61068209
487,-81.29545549
488,-9.524049762
489,2.03064564
490,-17.55963139
491,11.30827019
492,-43.11304075
493,-84.52930886
494,-18.05881306
495,-22.78531453
496,-68.73139963
497,-28.37260483
498,-60.27854053
499,-110.8921716
500,-2.980983018
501,-10.06210524
502,-92.42102705
503,-26.71299489
504,-31.23702879
505,-7.821846856
506,-53.0775288
507,-74.04138213
508,-36.33037207
509,-55.01747699
510,-44.56117859
511,-17.79283621
512,-49.53441139
513,-63.75489061
514,-51.63904663
515,-18.42210332
516,-18.50274451
517,-84.56073788
518,-53.37461053
519,-44.25210645
520,-86.0969202
521,-18.32696332
522,-57.56366671
523,-2.428260812
524,-68.21594879
525,-86.02071091
526,-110.800971
527,-51.91794473
528,-27.68801664
529,-57.72581829
530,-33.7894906
531,-94.51357242
532,-74.22880533
533,-86.70782058
534,-49.95003402
535,-35.67402527
536,-62.38366988
537,-56.66348164
538,-18.39377855
539,-74.05626101
540,-11.48547391
541,-71.27996126
542,-23.55596797
543,-15.200579
544,-152.4067992
545,-50.5222217
546,-38.63852444
547,-66.99724745
548,-24.59913052
549,-70.28133245
550,-26.38326268
551,-40.66068012
552,-2.433432293
553,-62.67633249
554,-16.77732009
555,-53.85541517
556,-66.63448976
557,-56.42709411
558,-65.68445999
559,-51.61960781
560,-55.99685981
561,-11.4018286
562,-48.03069742
563,-37.05908605
564,-23.68335007
565,-32.24369933
566,-112.9165497
567,-103.8396637
568,-118.0398342
569,-35.69287053
570,-48.84227149
571,-8.992260753
572,-34.85436858
573,-44.38600783
574,-4.587782086
575,-84.23168049
576,-46.19877442
577,-47.52369995
578,-95.16275111
579,-10.26071494
580,-53.52211624
581,-74.5422879
582,-23.17419163
583,16.11124233
584,-41.07112821
585,-52.58394034
586,-63.49560889
587,-86.16847531
588,-8.401439732
589,-53.22771492
590,-75.91856895
591,-75.82365387
592,-58.58769012
593,-48.35545323
594,-19.04727436
595,-85.52119948
596,-69.86930324
597,-91.13000129
598,-55.67651252
599,-34.97459967
