time,c_rate
352,-4.066400767
353,-5.121319794
354,-2.915174924
355,-6.082606928
356,-6.473656323
357,-6.455969857
358,-5.615102916
359,-3.238686949
360,-9.068262563
361,-6.656176164
362,-6.648077431
363,-7.639266472
364,-8.181840627
365,4.221410508
366,3.744084255
367,2.4433025
368,1.499324199
369,5.463695891
370,-4.374394036
371,-4.471073518
372,-3.367324246
373,-5.788310598
374,-5.400424975
375,-3.586513584
376,-3.05570812
377,-5.349860337
378,-5.25018
379,-3.787844761
380,-6.386873936
381,-3.31912616
382,-4.397996497
383,-6.359074764
384,-4.349639024
385,-5.188866648
386,-4.264745636
387,-3.791510365
388,-6.513886868
389,-4.309774271
390,-9.514846697
391,-7.331357607
392,-7.27596067
393,-6.677701096
394,-8.717808743
395,2.019322432
396,4.736209588
397,2.592930995
398,5.305169468
399,1.016578168
400,-6.071431329
401,-5.718453682
402,-5.696686527
403,-5.979990464
404,-5.658722157
405,-5.141666987
406,-3.243131037
407,-2.864483976
408,-6.271745169
409,-5.10496011
410,-5.794937554
411,-4.586661075
412,-3.189675245
413,-3.21989071
414,-5.369291513
415,-4.390214391
416,-3.508861965
417,-4.625294152
418,-2.986006882
419,-4.971945103
