time (s),power (W)
329,-40.28769535
330,-39.40215772
331,-43.81014362
332,-37.78683048
333,-36.42845757
334,-41.20275176
335,-39.49831102
336,-38.55898551
337,-41.68825037
338,-40.84775144
339,-39.38609317
340,-38.09025943
341,-41.98515041
342,-41.58303277
343,-40.22721998
344,-43.74768807
345,-38.47059996
346,-37.64659296
347,-39.15481735
348,-39.72109319
349,-40.2438325
350,-39.36711273
351,-40.44052717
352,-37.53921816
353,-42.41570552
354,-39.65493755
355,-41.82504086
356,-40.42364675
357,-40.62995204
358,-40.83442309
359,-40.61358796
360,-40.96641802
361,-42.20834327
362,-40.15912638
363,-41.08633713
364,-39.64121524
365,-42.40910647
366,-38.57980491
367,-43.06192703
368,-39.73091393
369,-37.21493544
370,-40.03534315
371,-38.57137496
372,-41.32450684
373,-38.62280783
374,-38.99631104
375,-36.38491227
376,-38.98523319
377,-34.81507407
378,-36.33480423
379,-40.57626807
380,-40.62219687
381,-39.97024588
382,-37.45098078
383,-39.11416352
384,-39.19396753
385,-37.10471045
386,-41.92051359
387,-40.78785595
388,-38.80070531
389,-39.24912873
390,-39.5775027
391,-35.50647015
392,-38.75327898
393,-37.96660327
394,-37.38830126
395,-38.69190384
396,-42.45295549
397,-40.35993242
398,-38.16707804
399,-40.23643265
400,-41.73227371
401,-40.87338187
402,-39.30837188
403,-38.03001302
404,-40.46374819
405,-39.30931573
406,-40.21703222
407,-39.74658765
408,-40.49630763
409,-37.62902504
410,-40.98090044
411,-38.95490876
412,-42.35207337
413,-37.3504858
414,-41.73819907
415,-38.95547176
416,-37.41882096
417,-37.72192907
418,-38.01781166
419,-39.36482463
420,-48.58960869
421,-46.60569837
422,-48.20268769
423,-52.12266076
424,-51.37231427
425,-49.63925569
426,-48.91859362
427,-49.06700276
428,-50.56292943
429,-47.6024294
430,-48.98726078
431,-47.03711345
432,-50.77830019
433,-51.22694579
434,-49.78488224
435,-53.50682942
436,-48.44136846
437,-48.61274837
438,-51.66826343
439,-53.1566392
440,-54.91190918
441,-51.03501985
442,-53.81686438
443,-52.39867048
444,-52.15601556
445,-54.67019099
446,-54.25164368
447,-50.21933393
448,-56.34594615
449,-56.1714455
450,-52.54270953
451,-54.99370402
452,-55.17142091
453,-54.74922006
454,-53.88503827
455,-53.66554291
456,-54.83444583
457,-57.60552771
458,-56.46727431
459,-54.81322885
460,-57.48304674
461,-50.93311362
462,-58.16525639
463,-53.54235011
464,-56.03418537
465,-54.66416648
466,-54.95061061
467,-59.39324673
468,-56.4468273
469,-58.52301482
470,-57.81121037
471,-58.7591892
472,-58.63817621
473,-56.17792821
474,-60.30168487
475,-58.20893969
476,-56.28601961
477,-58.32770164
478,-62.42060916
479,-61.24362113
480,-59.07455477
481,-59.67654353
482,-59.7265199
483,-64.06580202
484,-61.60254146
485,-61.68957774
486,-62.77556714
487,-61.94663797
488,-61.0459351
489,-61.15936133
490,-61.98814751
491,-62.05034786
492,-64.03724277
493,-62.81475996
494,-64.04630809
495,-63.17782437
496,-63.46613206
497,-59.70861016
498,-65.58481424
499,-64.55383086
500,-65.73259845
501,-59.28997064
502,-68.30842844
503,-64.2774769
504,-67.13809755
505,-63.25166117
506,-66.2417774
507,-63.83030321
508,-64.60764269
509,-69.19916596
510,-65.99429031
511,-66.73267417
512,-67.91345586
513,-67.83918147
514,-67.21451333
515,-67.6026743
516,-71.89383911
517,-67.44120484
518,-67.90929092
519,-70.04943603
520,-70.14871253
521,-70.29617457
522,-69.9072453
523,-66.68363535
524,-71.7069118
525,-67.28067597
526,-69.90224919
527,-67.99002903
528,-69.84174689
529,-70.55260383
530,-70.53920596
531,-71.32423526
532,-73.48048603
533,-71.38143217
534,-70.72221702
535,-72.90823595
536,-73.31601144
537,-69.54598924
538,-72.84789055
539,-73.63872598
540,-41.67753968
541,-44.70490932
542,-41.34133446
543,-41.8400226
544,-40.69660787
545,-41.03792506
546,-38.42321504
547,-37.80123759
548,-43.29151757
549,-38.27120232
550,-38.00989008
551,-35.30445754
552,-38.04444187
553,-36.20359664
554,-41.56822219
555,-40.42441582
556,-36.74927846
557,-42.06954329
558,-39.16749459
559,-36.80353005
560,-32.26609015
561,-40.933043
562,-34.27405948
563,-33.20812058
564,-38.03515228
565,-39.99610888
566,-38.08647908
567,-35.99914907
568,-36.05495588
569,-36.52293951
570,-35.74890427
571,-34.88455679
572,-33.9612521
573,-33.6594791
574,-31.8055287
575,-32.66182925
576,-30.10665404
577,-32.38863585
578,-30.77794554
579,-29.96680027
580,-32.28894681
581,-33.87887291
582,-33.02185559
583,-28.51895515
584,-28.96681611
585,-32.45939722
586,-28.37665113
587,-29.74780133
588,-30.54631868
589,-27.7991549
590,-29.74178615
591,-26.53446093
592,-27.25694008
593,-28.32044848
594,-24.25666864
595,-27.33264354
596,-25.89709908
597,-26.32913864
598,-25.1315774
599,-26.59145106
