Time_Minutes,Power_PerUnit,Description
169,-0.3139,"Frequency regulation signal (positive=discharge, negative=charge)"
170,-0.0748,"Frequency regulation signal (positive=discharge, negative=charge)"
171,0.1777,"Frequency regulation signal (positive=discharge, negative=charge)"
172,0.1508,"Frequency regulation signal (positive=discharge, negative=charge)"
173,-0.1889,"Frequency regulation signal (positive=discharge, negative=charge)"
174,-0.3736,"Frequency regulation signal (positive=discharge, negative=charge)"
175,-0.0215,"Frequency regulation signal (positive=discharge, negative=charge)"
176,0.0892,"Frequency regulation signal (positive=discharge, negative=charge)"
177,0.2913,"Frequency regulation signal (positive=discharge, negative=charge)"
178,-0.3458,"Frequency regulation signal (positive=discharge, negative=charge)"
179,0.2234,"Frequency regulation signal (positive=discharge, negative=charge)"
180,0.1873,"Frequency regulation signal (positive=discharge, negative=charge)"
181,0.2731,"Frequency regulation signal (positive=discharge, negative=charge)"
182,0.2047,"Frequency regulation signal (positive=discharge, negative=charge)"
183,0.2197,"Frequency regulation signal (positive=discharge, negative=charge)"
184,-0.0061,"Frequency regulation signal (positive=discharge, negative=charge)"
185,0.4538,"Frequency regulation signal (positive=discharge, negative=charge)"
186,0.6482,"Frequency regulation signal (positive=discharge, negative=charge)"
187,0.3674,"Frequency regulation signal (positive=discharge, negative=charge)"
188,-0.21,"Frequency regulation signal (positive=discharge, negative=charge)"
189,-0.5173,"Frequency regulation signal (positive=discharge, negative=charge)"
190,-0.0666,"Frequency regulation signal (positive=discharge, negative=charge)"
191,0.4593,"Frequency regulation signal (positive=discharge, negative=charge)"
192,0.2372,"Frequency regulation signal (positive=discharge, negative=charge)"
193,-0.3596,"Frequency regulation signal (positive=discharge, negative=charge)"
194,-0.1155,"Frequency regulation signal (positive=discharge, negative=charge)"
195,0.2933,"Frequency regulation signal (positive=discharge, negative=charge)"
196,0.4053,"Frequency regulation signal (positive=discharge, negative=charge)"
197,0.5684,"Frequency regulation signal (positive=discharge, negative=charge)"
198,0.2355,"Frequency regulation signal (positive=discharge, negative=charge)"
199,-0.1093,"Frequency regulation signal (positive=discharge, negative=charge)"
200,0.4419,"Frequency regulation signal (positive=discharge, negative=charge)"
201,0.703,"Frequency regulation signal (positive=discharge, negative=charge)"
202,0.6132,"Frequency regulation signal (positive=discharge, negative=charge)"
203,0.1622,"Frequency regulation signal (positive=discharge, negative=charge)"
204,-0.5188,"Frequency regulation signal (positive=discharge, negative=charge)"
205,-0.2151,"Frequency regulation signal (positive=discharge, negative=charge)"
206,0.3197,"Frequency regulation signal (positive=discharge, negative=charge)"
207,0.2051,"Frequency regulation signal (positive=discharge, negative=charge)"
208,-0.1195,"Frequency regulation signal (positive=discharge, negative=charge)"
209,0.4891,"Frequency regulation signal (positive=discharge, negative=charge)"
210,0.1849,"Frequency regulation signal (positive=discharge, negative=charge)"
211,0.6476,"Frequency regulation signal (positive=discharge, negative=charge)"
212,0.5547,"Frequency regulation signal (positive=discharge, negative=charge)"
213,0.1694,"Frequency regulation signal (positive=discharge, negative=charge)"
214,-0.1376,"Frequency regulation signal (positive=discharge, negative=charge)"
215,0.3216,"Frequency regulation signal (positive=discharge, negative=charge)"
216,0.2323,"Frequency regulation signal (positive=discharge, negative=charge)"
217,0.1429,"Frequency regulation signal (positive=discharge, negative=charge)"
218,-0.3519,"Frequency regulation signal (positive=discharge, negative=charge)"
219,-0.4327,"Frequency regulation signal (positive=discharge, negative=charge)"
220,0.233,"Frequency regulation signal (positive=discharge, negative=charge)"
221,-0.3487,"Frequency regulation signal (positive=discharge, negative=charge)"
222,0.055,"Frequency regulation signal (positive=discharge, negative=charge)"
223,-0.7172,"Frequency regulation signal (positive=discharge, negative=charge)"
224,-0.5336,"Frequency regulation signal (positive=discharge, negative=charge)"
225,0.1425,"Frequency regulation signal (positive=discharge, negative=charge)"
226,0.3048,"Frequency regulation signal (positive=discharge, negative=charge)"
227,0.0382,"Frequency regulation signal (positive=discharge, negative=charge)"
228,-0.1953,"Frequency regulation signal (positive=discharge, negative=charge)"
229,-0.0114,"Frequency regulation signal (positive=discharge, negative=charge)"
230,-0.0263,"Frequency regulation signal (positive=discharge, negative=charge)"
231,0.4001,"Frequency regulation signal (positive=discharge, negative=charge)"
232,0.1918,"Frequency regulation signal (positive=discharge, negative=charge)"
233,-0.3703,"Frequency regulation signal (positive=discharge, negative=charge)"
234,0.015,"Frequency regulation signal (positive=discharge, negative=charge)"
235,-0.0438,"Frequency regulation signal (positive=discharge, negative=charge)"
236,-0.3009,"Frequency regulation signal (positive=discharge, negative=charge)"
237,0.0549,"Frequency regulation signal (positive=discharge, negative=charge)"
238,-0.409,"Frequency regulation signal (positive=discharge, negative=charge)"
239,-0.133,"Frequency regulation signal (positive=discharge, negative=charge)"
240,-0.0796,"Frequency regulation signal (positive=discharge, negative=charge)"
241,0.4368,"Frequency regulation signal (positive=discharge, negative=charge)"
242,0.5345,"Frequency regulation signal (positive=discharge, negative=charge)"
243,0.3116,"Frequency regulation signal (positive=discharge, negative=charge)"
244,-0.1854,"Frequency regulation signal (positive=discharge, negative=charge)"
245,0.2602,"Frequency regulation signal (positive=discharge, negative=charge)"
246,0.4744,"Frequency regulation signal (positive=discharge, negative=charge)"
247,0.2669,"Frequency regulation signal (positive=discharge, negative=charge)"
248,0.3259,"Frequency regulation signal (positive=discharge, negative=charge)"
249,-0.1196,"Frequency regulation signal (positive=discharge, negative=charge)"
250,-0.2141,"Frequency regulation signal (positive=discharge, negative=charge)"
251,0.4864,"Frequency regulation signal (positive=discharge, negative=charge)"
252,0.6323,"Frequency regulation signal (positive=discharge, negative=charge)"
253,0.1092,"Frequency regulation signal (positive=discharge, negative=charge)"
254,-0.4384,"Frequency regulation signal (positive=discharge, negative=charge)"
255,0.1344,"Frequency regulation signal (positive=discharge, negative=charge)"
256,0.8484,"Frequency regulation signal (positive=discharge, negative=charge)"
257,0.4109,"Frequency regulation signal (positive=discharge, negative=charge)"
258,0.3265,"Frequency regulation signal (positive=discharge, negative=charge)"
259,0.2871,"Frequency regulation signal (positive=discharge, negative=charge)"
260,0.1997,"Frequency regulation signal (positive=discharge, negative=charge)"
261,0.5932,"Frequency regulation signal (positive=discharge, negative=charge)"
262,-0.2351,"Frequency regulation signal (positive=discharge, negative=charge)"
263,-0.2384,"Frequency regulation signal (positive=discharge, negative=charge)"
264,-0.2809,"Frequency regulation signal (positive=discharge, negative=charge)"
265,-0.2633,"Frequency regulation signal (positive=discharge, negative=charge)"
266,0.5558,"Frequency regulation signal (positive=discharge, negative=charge)"
267,-0.1691,"Frequency regulation signal (positive=discharge, negative=charge)"
268,-0.2967,"Frequency regulation signal (positive=discharge, negative=charge)"
269,-0.2398,"Frequency regulation signal (positive=discharge, negative=charge)"
270,0.3715,"Frequency regulation signal (positive=discharge, negative=charge)"
271,0.1479,"Frequency regulation signal (positive=discharge, negative=charge)"
272,0.6092,"Frequency regulation signal (positive=discharge, negative=charge)"
273,0.0543,"Frequency regulation signal (positive=discharge, negative=charge)"
274,-0.2578,"Frequency regulation signal (positive=discharge, negative=charge)"
275,0.275,"Frequency regulation signal (positive=discharge, negative=charge)"
276,0.4385,"Frequency regulation signal (positive=discharge, negative=charge)"
277,0.0828,"Frequency regulation signal (positive=discharge, negative=charge)"
278,-0.229,"Frequency regulation signal (positive=discharge, negative=charge)"
279,-0.5138,"Frequency regulation signal (positive=discharge, negative=charge)"
280,-0.1938,"Frequency regulation signal (positive=discharge, negative=charge)"
281,0.1674,"Frequency regulation signal (positive=discharge, negative=charge)"
282,0.2462,"Frequency regulation signal (positive=discharge, negative=charge)"
283,-0.6308,"Frequency regulation signal (positive=discharge, negative=charge)"
284,-0.0026,"Frequency regulation signal (positive=discharge, negative=charge)"
285,-0.4522,"Frequency regulation signal (positive=discharge, negative=charge)"
286,0.2731,"Frequency regulation signal (positive=discharge, negative=charge)"
287,0.3817,"Frequency regulation signal (positive=discharge, negative=charge)"
288,0.0145,"Frequency regulation signal (positive=discharge, negative=charge)"
289,-0.2599,"Frequency regulation signal (positive=discharge, negative=charge)"
290,0.0888,"Frequency regulation signal (positive=discharge, negative=charge)"
291,0.2696,"Frequency regulation signal (positive=discharge, negative=charge)"
292,0.076,"Frequency regulation signal (positive=discharge, negative=charge)"
293,-0.0604,"Frequency regulation signal (positive=discharge, negative=charge)"
294,-0.3307,"Frequency regulation signal (positive=discharge, negative=charge)"
295,-0.2978,"Frequency regulation signal (positive=discharge, negative=charge)"
296,0.2925,"Frequency regulation signal (positive=discharge, negative=charge)"
297,0.0892,"Frequency regulation signal (positive=discharge, negative=charge)"
298,-0.1048,"Frequency regulation signal (positive=discharge, negative=charge)"
299,-0.1674,"Frequency regulation signal (positive=discharge, negative=charge)"
300,-0.0769,"Frequency regulation signal (positive=discharge, negative=charge)"
301,0.3579,"Frequency regulation signal (positive=discharge, negative=charge)"
302,0.5925,"Frequency regulation signal (positive=discharge, negative=charge)"
303,0.2704,"Frequency regulation signal (positive=discharge, negative=charge)"
304,0.0593,"Frequency regulation signal (positive=discharge, negative=charge)"
305,0.3597,"Frequency regulation signal (positive=discharge, negative=charge)"
306,0.8331,"Frequency regulation signal (positive=discharge, negative=charge)"
307,0.2884,"Frequency regulation signal (positive=discharge, negative=charge)"
308,0.0921,"Frequency regulation signal (positive=discharge, negative=charge)"
309,-0.2316,"Frequency regulation signal (positive=discharge, negative=charge)"
310,0.0028,"Frequency regulation signal (positive=discharge, negative=charge)"
311,0.5312,"Frequency regulation signal (positive=discharge, negative=charge)"
312,0.3825,"Frequency regulation signal (positive=discharge, negative=charge)"
313,0.0742,"Frequency regulation signal (positive=discharge, negative=charge)"
314,0.1332,"Frequency regulation signal (positive=discharge, negative=charge)"
315,0.2435,"Frequency regulation signal (positive=discharge, negative=charge)"
316,0.74,"Frequency regulation signal (positive=discharge, negative=charge)"
317,0.4983,"Frequency regulation signal (positive=discharge, negative=charge)"
318,0.3107,"Frequency regulation signal (positive=discharge, negative=charge)"
319,0.1147,"Frequency regulation signal (positive=discharge, negative=charge)"
320,0.4117,"Frequency regulation signal (positive=discharge, negative=charge)"
321,0.7315,"Frequency regulation signal (positive=discharge, negative=charge)"
322,0.2556,"Frequency regulation signal (positive=discharge, negative=charge)"
323,0.3904,"Frequency regulation signal (positive=discharge, negative=charge)"
324,-0.4237,"Frequency regulation signal (positive=discharge, negative=charge)"
325,-0.2494,"Frequency regulation signal (positive=discharge, negative=charge)"
326,0.4685,"Frequency regulation signal (positive=discharge, negative=charge)"
327,0.2809,"Frequency regulation signal (positive=discharge, negative=charge)"
328,-0.0776,"Frequency regulation signal (positive=discharge, negative=charge)"
329,-0.1338,"Frequency regulation signal (positive=discharge, negative=charge)"
330,0.0884,"Frequency regulation signal (positive=discharge, negative=charge)"
331,0.2619,"Frequency regulation signal (positive=discharge, negative=charge)"
332,0.3989,"Frequency regulation signal (positive=discharge, negative=charge)"
333,-0.0763,"Frequency regulation signal (positive=discharge, negative=charge)"
334,0.1385,"Frequency regulation signal (positive=discharge, negative=charge)"
335,0.1597,"Frequency regulation signal (positive=discharge, negative=charge)"
336,0.2403,"Frequency regulation signal (positive=discharge, negative=charge)"
337,0.1443,"Frequency regulation signal (positive=discharge, negative=charge)"
338,-0.1547,"Frequency regulation signal (positive=discharge, negative=charge)"
339,-0.5436,"Frequency regulation signal (positive=discharge, negative=charge)"
340,-0.3747,"Frequency regulation signal (positive=discharge, negative=charge)"
341,0.0895,"Frequency regulation signal (positive=discharge, negative=charge)"
342,-0.0158,"Frequency regulation signal (positive=discharge, negative=charge)"
343,-0.4798,"Frequency regulation signal (positive=discharge, negative=charge)"
344,-0.5166,"Frequency regulation signal (positive=discharge, negative=charge)"
345,-0.0117,"Frequency regulation signal (positive=discharge, negative=charge)"
346,0.0196,"Frequency regulation signal (positive=discharge, negative=charge)"
347,-0.0113,"Frequency regulation signal (positive=discharge, negative=charge)"
348,-0.18,"Frequency regulation signal (positive=discharge, negative=charge)"
349,-0.1737,"Frequency regulation signal (positive=discharge, negative=charge)"
350,0.1968,"Frequency regulation signal (positive=discharge, negative=charge)"
351,0.6664,"Frequency regulation signal (positive=discharge, negative=charge)"
352,0.3687,"Frequency regulation signal (positive=discharge, negative=charge)"
353,-0.2575,"Frequency regulation signal (positive=discharge, negative=charge)"
354,-0.4015,"Frequency regulation signal (positive=discharge, negative=charge)"
355,-0.3555,"Frequency regulation signal (positive=discharge, negative=charge)"
356,0.1133,"Frequency regulation signal (positive=discharge, negative=charge)"
357,-0.0259,"Frequency regulation signal (positive=discharge, negative=charge)"
358,-0.1989,"Frequency regulation signal (positive=discharge, negative=charge)"
359,-0.4543,"Frequency regulation signal (positive=discharge, negative=charge)"
360,0.1953,"Frequency regulation signal (positive=discharge, negative=charge)"
361,0.7784,"Frequency regulation signal (positive=discharge, negative=charge)"
362,0.425,"Frequency regulation signal (positive=discharge, negative=charge)"
363,0.2318,"Frequency regulation signal (positive=discharge, negative=charge)"
364,0.204,"Frequency regulation signal (positive=discharge, negative=charge)"
365,0.2591,"Frequency regulation signal (positive=discharge, negative=charge)"
366,0.6258,"Frequency regulation signal (positive=discharge, negative=charge)"
367,0.4115,"Frequency regulation signal (positive=discharge, negative=charge)"
368,0.005,"Frequency regulation signal (positive=discharge, negative=charge)"
369,-0.3431,"Frequency regulation signal (positive=discharge, negative=charge)"
370,0.0534,"Frequency regulation signal (positive=discharge, negative=charge)"
371,0.4136,"Frequency regulation signal (positive=discharge, negative=charge)"
372,0.5093,"Frequency regulation signal (positive=discharge, negative=charge)"
373,0.1051,"Frequency regulation signal (positive=discharge, negative=charge)"
374,0.304,"Frequency regulation signal (positive=discharge, negative=charge)"
375,0.0881,"Frequency regulation signal (positive=discharge, negative=charge)"
376,0.7796,"Frequency regulation signal (positive=discharge, negative=charge)"
377,0.5982,"Frequency regulation signal (positive=discharge, negative=charge)"
378,0.684,"Frequency regulation signal (positive=discharge, negative=charge)"
379,-0.0193,"Frequency regulation signal (positive=discharge, negative=charge)"
380,0.2261,"Frequency regulation signal (positive=discharge, negative=charge)"
381,0.4944,"Frequency regulation signal (positive=discharge, negative=charge)"
382,-0.0038,"Frequency regulation signal (positive=discharge, negative=charge)"
383,-0.1307,"Frequency regulation signal (positive=discharge, negative=charge)"
384,-0.3738,"Frequency regulation signal (positive=discharge, negative=charge)"
385,0.0232,"Frequency regulation signal (positive=discharge, negative=charge)"
386,0.3062,"Frequency regulation signal (positive=discharge, negative=charge)"
387,0.4974,"Frequency regulation signal (positive=discharge, negative=charge)"
388,-0.0124,"Frequency regulation signal (positive=discharge, negative=charge)"
389,-0.3739,"Frequency regulation signal (positive=discharge, negative=charge)"
390,-0.0882,"Frequency regulation signal (positive=discharge, negative=charge)"
391,0.5387,"Frequency regulation signal (positive=discharge, negative=charge)"
392,0.1204,"Frequency regulation signal (positive=discharge, negative=charge)"
393,0.4234,"Frequency regulation signal (positive=discharge, negative=charge)"
394,0.1788,"Frequency regulation signal (positive=discharge, negative=charge)"
395,0.0949,"Frequency regulation signal (positive=discharge, negative=charge)"
396,0.0627,"Frequency regulation signal (positive=discharge, negative=charge)"
397,0.4775,"Frequency regulation signal (positive=discharge, negative=charge)"
398,-0.2608,"Frequency regulation signal (positive=discharge, negative=charge)"
399,-0.1855,"Frequency regulation signal (positive=discharge, negative=charge)"
400,-0.5298,"Frequency regulation signal (positive=discharge, negative=charge)"
401,-0.0798,"Frequency regulation signal (positive=discharge, negative=charge)"
402,-0.0649,"Frequency regulation signal (positive=discharge, negative=charge)"
403,-0.3708,"Frequency regulation signal (positive=discharge, negative=charge)"
404,-0.514,"Frequency regulation signal (positive=discharge, negative=charge)"
405,0.0645,"Frequency regulation signal (positive=discharge, negative=charge)"
406,0.0937,"Frequency regulation signal (positive=discharge, negative=charge)"
407,0.2389,"Frequency regulation signal (positive=discharge, negative=charge)"
408,-0.0148,"Frequency regulation signal (positive=discharge, negative=charge)"
409,-0.0307,"Frequency regulation signal (positive=discharge, negative=charge)"
410,0.2744,"Frequency regulation signal (positive=discharge, negative=charge)"
411,0.1457,"Frequency regulation signal (positive=discharge, negative=charge)"
412,-0.1105,"Frequency regulation signal (positive=discharge, negative=charge)"
413,0.0265,"Frequency regulation signal (positive=discharge, negative=charge)"
414,-0.3342,"Frequency regulation signal (positive=discharge, negative=charge)"
415,-0.3077,"Frequency regulation signal (positive=discharge, negative=charge)"
416,0.4233,"Frequency regulation signal (positive=discharge, negative=charge)"
417,0.0517,"Frequency regulation signal (positive=discharge, negative=charge)"
