time (s),power (W)
341,-10.056
342,-4.584
343,-2.712000001
344,-2.412000001
345,-4.907999999
346,-2.556000001
347,-3.683999998
348,-4.152000002
349,-3.504
350,-2.412000001
351,-1.644
352,-1.632000001
353,-1.619999998
354,-2.004
355,-2.772000001
356,-2.412000001
357,-1.259999998
358,0
359,0
360,0
361,0
362,0
363,-0.144000001
364,-1.272000001
365,-1.559999999
366,-2.424
367,-3.948000001
368,-5.675999999
369,-4.128
370,-2.279999999
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,-0.132000002
393,-0.887999999
394,-2.556000001
395,-5.004
396,-7.968000001
397,-10.812
398,-10.812
399,-6.276000001
400,-1.740000001
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,-0.192000001
410,-0.947999999
411,-1.151999999
412,-1.368000002
413,-1.596
414,-2.88
415,-4.187999999
416,-4.128
417,-2.135999998
418,-0.348000001
419,0
420,0
421,-0.023999998
422,-1.368000002
423,-2.747999999
424,-5.508
425,-10.368
426,-16.428
427,-17.844
428,-10.332
429,-3.192
430,0
431,0
432,0
433,-1.559999999
434,-0.252
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,-0.167999999
513,-1.536000001
514,-5.076000002
515,-8.771999999
516,-9.551999999
517,-5.219999999
518,-1.380000001
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,-0.036000001
534,-0.396000001
535,-1.043999999
536,-2.412000001
537,-5.856000001
538,-11.112
539,-12.288
540,-5.952000002
541,-1.632000001
542,-0.947999999
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,-0.348000001
555,-0.708000001
556,-1.068000001
557,-1.632000001
558,-2.088000002
559,-4.799999999
560,-2.075999999
561,-0.972000001
562,-0.972000001
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,-0.204
602,-0.887999999
603,-3.084000001
604,-6.875999998
605,-11.76
606,-16.788
607,-19.344
608,-20.448
609,-22.176
610,-25.596
611,-25.164
612,-17.376
613,-8.340000001
614,-4.428
615,-5.052
616,-4.356000002
617,-2.976000001
618,-0.264
619,0
620,0
621,-1.752
622,-4.128
623,-5.939999999
624,-8.448
625,-8.640000001
626,-6.923999999
627,-5.1
628,-5.1
629,-5.735999999
630,-8.952000001
631,-11.724
632,-13.428
633,-15.276
634,-15.228
635,-13.68
636,-9.755999999
637,-6.96
638,-6.228000001
639,-5.471999999
640,-6.143999999
641,-10.476
642,-15.792
643,-14.112
644,-9.924000002
645,-10.8
646,-10.956
647,-11.1
648,-9.695999999
649,-7.404000001
650,-1.884000002
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,-1.463999999
666,-3.263999999
667,-10.44
668,-12.156
669,-16.884
670,-17.484
671,-11.364
672,-12.204
673,-13.08
674,-13.968
675,-5.496000001
676,-5.004
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,-1.116000001
685,-7.391999998
686,-8.975999999
687,-8.172000002
688,-10.716
689,-9.516000001
690,-4.811999999
691,-3.228000001
692,-5.412
693,-6.455999999
694,-4.884000001
695,0
696,0
697,0
698,0
699,0
700,0
701,-0.731999999
702,-1.295999999
703,-1.008000002
704,0
705,0
706,0
707,0
708,0
709,-2.628
710,-7.824000001
711,-10.428
712,-3.348
713,0
714,0
715,0
716,0
717,-0.635999999
718,-2.291999998
719,-6.084
720,-6.432000001
721,-6.455999999
722,-6.671999998
723,-6.095999999
724,-10.2
725,-13.98
726,-22.488
727,-17.364
728,-15.972
729,-11.652
730,-5.868
731,-4.788
732,-5.388000002
733,-5.435999998
734,-6.072000001
735,-6.732000001
736,-8.028000001
737,-6.396
738,-5.256
739,-11.988
740,-11.832
741,-10.332
742,-6.047999999
743,-6.072000001
744,-5.448000001
745,-6.095999999
746,-8.088
747,-10.2
748,-11.112
749,-8.688000001
750,-6.060000001
751,-5.375999999
752,-3.288000001
753,-0.479999999
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,-1.967999999
765,-6.347999999
766,-7.751999998
767,-9.84
768,-11.328
769,-17.664
770,-23.892
771,-25.452
772,-29.172
773,-23.208
774,-27.78
775,-28.86
776,-23.736
777,-21.996
778,-22.248
779,-19.944
780,-18.132
781,-16.08
782,-14.676
783,-13.164
784,-14.184
785,-17.016
786,-15.588
787,-12.228
788,-11.364
789,-12.276
790,-14.124
791,-14.268
792,-8.016000002
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,-3.527999998
801,-8.652
802,-19.368
803,-27.66
804,-25.752
805,-15.732
806,-9.060000001
807,-3.3
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,-3.324000002
820,-9.503999998
821,-11.388
822,-12.276
823,-13.176
824,-11.724
825,-12.24
826,-12.684
827,-12.54
828,-17.064
829,-18.984
830,-18.636
831,-14.136
832,-8.808
833,-8.975999999
834,-9.803999999
835,-9.335999999
836,-8.808
837,-11.028
838,-12.684
839,-11.628
840,-12.612
841,-15.888
842,-16.452
843,-13.956
844,-10.404
845,-9.732000001
846,-9.803999999
847,-12.24
848,-16.428
849,-20.16
850,-17.616
851,-14.748
852,-15.024
853,-15.312
854,-13.86
855,-11.412
856,-11.46
857,-19.392
858,-22.62
859,-20.676
860,-17.556
861,-25.32
862,-34.788
863,-25.824
864,-19.632
865,-20.928
866,-27.372
867,-30.276
868,-22.908
869,-15.888
870,-13.716
871,-12.504
872,-12.312
873,-10.02
874,-6.648
875,-3.215999999
876,-0.78
877,-5.267999999
878,-9.792
879,-13.5
880,-3.827999999
881,-3.492000001
882,-12.552
883,-12.552
884,-13.5
885,-15.432
886,-14.628
887,-13.776
888,-10.98
889,-9.000000001
890,-5.076000002
891,-2.016
892,0
893,-0.408
894,-1.871999999
895,-5.939999999
896,-8.352
897,-9.996
898,-9.131999999
899,-7.391999998
900,-4.74
901,0
902,0
903,0
904,0
905,0
906,0
907,-3.527999998
908,-8.652
909,-19.368
910,-27.66
911,-25.752
912,-15.732
913,-16.344
914,-29.652
915,-16.884
916,-17.424
917,-7.344000002
918,-9.732000001
919,-12.216
920,-17.316
921,-24.504
922,-23.916
923,-21.384
924,-2.291999998
925,0
926,-4.235999999
927,-4.031999999
928,-6.372000001
929,-6.24
930,-6.948000001
931,-6.024
932,-5.891999999
933,-2.495999998
934,0
935,-1.236
936,-3.396
937,-4.02
938,-3.900000001
939,-3.011999998
940,-5.136000001
941,-6.54
942,-6.515999998
943,-7.235999998
944,-7.980000001
945,-8.76
946,-13.32
947,-13.656
948,-10.908
949,-7.175999999
950,-0.179999998
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,-4.811999999
959,-13.644
960,-23.628
961,-30.636
962,-31.26
963,-28.104
964,-20.064
965,-13.476
966,-7.416
967,-5.999999998
968,-3.816
969,-0.864000001
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,-0.348000001
1028,-2.664000001
1029,-7.572
1030,-11.7
1031,-13.368
1032,-14.424
1033,-15.672
1034,-16.932
1035,-15.54
1036,-14.304
1037,-13.644
1038,-16.164
1039,-19.02
1040,-20.364
1041,-19.74
1042,-16.02
1043,-11.664
1044,-8.292
1045,-7.632
1046,-8.388000001
1047,-8.459999999
1048,-5.579999999
1049,-1.116000001
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,-0.804000001
1063,-1.811999999
1064,-5.639999998
1065,-10.14
1066,-10.824
1067,-5.400000001
1068,-3.671999999
1069,-5.88
1070,-10.584
1071,-14.04
1072,-17.88
1073,-23.496
1074,-31.032
1075,-34.272
1076,-33.18
1077,-29.88
1078,-27.504
1079,-27.6
1080,-21.564
1081,-13.728
1082,-6.072000001
1083,0
1084,0
1085,-3.288000001
1086,-8.771999999
1087,-9.588
1088,-9.624000001
1089,-8.844000001
1090,-8.844000001
1091,-11.28
1092,-17.112
1093,-22.596
1094,-21
1095,-16.512
1096,-12.468
1097,-7.248000001
1098,-0.096000001
1099,0
1100,0
1101,-4.811999999
1102,-11.928
1103,-20.22
1104,-26.82
1105,-23.916
1106,-16.08
1107,-10.14
1108,-2.988
1109,0
1110,-3.180000001
1111,-10.572
1112,-20.772
1113,-33.624
1114,-35.724
1115,-25.716
1116,-16.08
1117,-9.503999998
1118,-1.667999999
1119,-1.307999999
1120,-5.592000002
1121,-7.187999998
1122,-4.272
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,-0.972000001
1139,-1.380000001
1140,-1.811999999
1141,-3.552
1142,-7.044000001
1143,-10.104
1144,-7.344000002
1145,-2.964000002
1146,0
1147,0
1148,0
1149,0
1150,-0.635999999
1151,-0.635999999
1152,-3.792000002
1153,-10.164
1154,-17.472
1155,-17.988
1156,-18.696
1157,-23.328
1158,-30.948
1159,-37.49999999
1160,-38.928
1161,-36.93599998
1162,-38.04000001
1163,-39.57600001
1164,-41.77199999
1165,-42.98400001
1166,-28.128
1167,-28.104
1168,-35.184
1169,-34.62
1170,-34.92
1171,-35.124
1172,-34.116
1173,-34.044
1174,-33.876
1175,-32.448
1176,-31.992
1177,-32.64
1178,-35.7
1179,-36.56400001
1180,-37.44000001
1181,-37.092
1182,-35.388
1183,-34.74
1184,-33.984
1185,-31.86
1186,-28.26
1187,-28.26
1188,-28.26
1189,-28.26
1190,-28.26
1191,-28.26
1192,-28.26
1193,-28.26
1194,-28.26
1195,-29.544
1196,-28.332
1197,-29.628
1198,-33.576
1199,-35.22
1200,-39.57600001
1201,-40.33199999
1202,-38.46
1203,-36.36
1204,-34.056
1205,-32.892
1206,-32.988
1207,-33.072
1208,-33.168
1209,-31.908
1210,-31.908
1211,-31.908
1212,-30.564
1213,-31.812
1214,-31.812
1215,-31.812
1216,-30.468
1217,-30.384
1218,-30.3
1219,-30.216
1220,-28.788
1221,-27.276
1222,-27.036
1223,-25.452
1224,-27.78
1225,-27.612
1226,-28.764
1227,-27.372
1228,-28.524
1229,-27.12
1230,-26.964
1231,-28.104
1232,-29.328
1233,-28.02
1234,-29.244
1235,-26.64
1236,-26.472
1237,-22.428
1238,-20.76
1239,-17.76
1240,-18.468
1241,-17.988
1242,-18.768
1243,-17.112
1244,-17.88
1245,-17.484
1246,-15.876
1247,-15.432
1248,-15
1249,-14.568
1250,-15.324
1251,-14.964
1252,-14.616
1253,-14.256
1254,-13.92
1255,-13.572
1256,-13.236
1257,-12.912
1258,-12.588
1259,-13.368
1260,-14.196
1261,-15.072
1262,-18.168
1263,-19.248
1264,-21.492
1265,-21.684
1266,-20.784
1267,-20.904
1268,-18.828
1269,-16.62
1270,-15.408
1271,-14.136
1272,-13.92
1273,-14.796
1274,-14.628
1275,-15.54
1276,-17.58
1277,-18.648
1278,-18.708
1279,-19.848
1280,-19.968
1281,-17.928
1282,-19.008
1283,-17.988
1284,-17.988
1285,-15.816
1286,-15.708
1287,-14.52
1288,-13.284
1289,-13.068
1290,-13.932
1291,-12.708
1292,-11.46
1293,-11.208
1294,-10.968
1295,-12.792
1296,-14.7
1297,-16.704
1298,-17.784
1299,-18.936
1300,-18.072
1301,-18.192
1302,-18.3
1303,-19.464
1304,-17.544
1305,-17.604
1306,-16.608
1307,-16.608
1308,-15.564
1309,-16.548
1310,-15.504
1311,-15.444
1312,-14.352
1313,-13.2
1314,-14.088
1315,-12.948
1316,-9.695999999
1317,-11.472
1318,-11.292
1319,-17.172
1320,-20.328
1321,-24.72
1322,-28.416
1323,-33.492
1324,-33.684
1325,-30.504
1326,-24.684
1327,-21.672
1328,-19.572
1329,-19.572
1330,-19.572
1331,-19.572
1332,-18.456
1333,-16.152
1334,-15.984
1335,-15.804
1336,-17.844
1337,-17.784
1338,-18.828
1339,-18.828
1340,-19.932
1341,-19.992
1342,-23.376
1343,-23.64
1344,-23.904
1345,-23.064
1346,-21.012
1347,-19.944
1348,-17.688
1349,-11.952
1350,-7.116
1351,-3.311999999
1352,-2.736
1353,-1.14
1354,-0.612
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,-6.024
1363,-14.16
1364,-21.108
1365,-16.788
1366,-11.124
1367,-3.371999998
1368,0
1369,0
1370,-3.864
1371,-8.496
1372,-8.496
1373,-4.499999999
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,-9.48
1383,-16.74
1384,-14.928
1385,-8.471999999
1386,-7.812000001
1387,-12.744
1388,-20.592
1389,-27.816
1390,-28.992
1391,-24.204
1392,-17.844
1393,-11.856
1394,-7.535999999
1395,-6.024
1396,-2.94
1397,-0.564
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,-3.371999998
1409,-2.687999999
1410,-1.572000002
1411,-0.804000001
1412,-0.408
1413,-2.231999999
1414,-7.056
1415,-13.332
1416,-18.3
1417,-20.244
1418,-16.8
1419,-8.532000002
1420,0
1421,0
1422,0
1423,0
1424,-4.284
1425,-11.028
1426,-19.224
1427,-16.296
1428,-8.232000001
1429,-0.804000001
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,-2.724000001
1437,-4.992
1438,-3.923999999
1439,-1.692000001
1440,0
1441,0
1442,0
1443,-0.312
1444,-1.8
1445,-1.584000001
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,-0.78
1480,-1.368000002
1481,-1.704
1482,-1.823999999
1483,-1.992000001
1484,-2.123999999
1485,-2.832
1486,-3.900000001
1487,-5.483999998
1488,-7.547999998
1489,-10.224
1490,-12.984
1491,-15.876
1492,-17.496
1493,-18.852
1494,-19.44
1495,-19.092
1496,-18.852
1497,-17.664
1498,-16.068
1499,-14.1
1500,-11.832
1501,-12.144
1502,-11.016
1503,-11.964
1504,-11.508
1505,-10.992
1506,-11.184
1507,-12.132
1508,-13.14
1509,-14.988
1510,-18.564
1511,-22.476
1512,-26.82
1513,-30.804
1514,-32.568
1515,-31.62
1516,-27.456
1517,-25.56
1518,-22.38
1519,-21.876
1520,-19.26
1521,-18.468
1522,-14.544
1523,-11.424
1524,-4.116
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,-3.719999999
1532,-7.68
1533,-12.588
1534,-17.772
1535,-25.068
1536,-31.464
1537,-36.87600001
1538,-42.98400001
1539,-46.93199999
1540,-52.22400002
1541,-54.81599999
1542,-55.11599999
1543,-51.45600001
1544,-43.20000001
1545,-37.35600001
1546,-33.276
1547,-31.284
1548,-32.868
1549,-33.3
1550,-36.264
1551,-36.9
1552,-38.82000001
1553,-38.26799999
1554,-40.23599999
1555,-42.32400001
1556,-45.88799998
1557,-48.372
1558,-53.74799999
1559,-56.832
1560,-58.71599999
1561,-60.636
1562,-62.60399999
1563,-66.096
1564,-68.316
1565,-70.58399999
1566,-74.46
1567,-73.884
1568,-74.568
1569,-75.12000001
1570,-75.528
1571,-75.79200001
1572,-75.912
1573,-72.504
1574,-70.29599999
1575,-67.77599999
1576,-63.22800001
1577,-59.952
1578,-56.39999998
1579,-55.99199999
1580,-52.18799999
1581,-53.22000001
1582,-49.33200001
1583,-46.88400001
1584,-44.34000002
1585,-41.71200002
1586,-39.00000001
1587,-37.84800001
1588,-38.34
1589,-40.53599998
1590,-41.34000001
1591,-43.83599999
1592,-43.36800002
1593,-46.06799999
1594,-45.82800001
1595,-42.45599999
1596,-42.01200001
1597,-36.87600001
1598,-34.572
1599,-32.208
1600,-29.772
1601,-28.8
1602,-30.84
1603,-33.036
1604,-33.924
1605,-37.84800001
1606,-37.64400001
1607,-40.38000001
1608,-40.38000001
1609,-43.32
1610,-42.06
1611,-45.10799998
1612,-46.908
1613,-50.316
1614,-52.49999999
1615,-56.31600002
1616,-60.444
1617,-63.36
1618,-66.468
1619,-65.08800001
1620,-64.98000001
1621,-63.14400001
1622,-61.00800001
1623,-55.36800001
1624,-50.78400001
1625,-45.82800001
1626,-35.724
1627,-28.26
1628,-20.556
1629,-17.352
1630,-17.208
1631,-23.16
1632,-27.912
1633,-35.88
1634,-38.49600002
1635,-39.86400002
1636,-38.40000002
1637,-35.376
1638,-33.624
1639,-31.788
1640,-32.76
1641,-35.256
1642,-39.35999999
1643,-45.20399998
1644,-48.62400002
1645,-53.77199998
1646,-56.39999998
1647,-60.68399998
1648,-63.81600001
1649,-65.62799999
1650,-67.47599999
1651,-66.25200001
1652,-66.288
1653,-66.192
1654,-64.344
1655,-65.43599999
1656,-66.52800002
1657,-67.644
1658,-68.75999998
1659,-69.89999999
1660,-71.052
1661,-70.53600001
1662,-73.23599998
1663,-72.73199999
1664,-72.05999999
1665,-72.96000002
1666,-70.40399999
1667,-70.99199999
1668,-69.85200001
1669,-70.30799999
1670,-69
1671,-67.548
1672,-67.70400002
1673,-67.848
1674,-66.24000002
1675,-66.24000002
1676,-64.48800002
1677,-62.592
1678,-60.552
1679,-60.13200001
1680,-59.71199998
1681,-62.76000001
1682,-64.35599999
1683,-67.82400001
1684,-71.59200002
1685,-72.19200001
1686,-72.804
1687,-73.41599999
1688,-70.49999999
1689,-70.79999999
1690,-69.33599999
1691,-69.492
1692,-69.63599998
1693,-69.792
1694,-69.94800001
1695,-70.092
1696,-70.24800001
1697,-70.39199999
1698,-68.77200002
1699,-66.99599999
1700,-65.06399998
1701,-64.77600002
1702,-64.47599998
1703,-62.42399999
1704,-63.756
1705,-63.456
1706,-63.168
1707,-64.632
1708,-64.48800002
1709,-64.344
1710,-67.70400002
1711,-67.848
1712,-69.75600001
1713,-71.80800001
1714,-72.26399998
1715,-74.48399999
1716,-75.10800001
1717,-77.49599999
1718,-78.28799999
1719,-80.86800001
1720,-80.03999999
1721,-79.044
1722,-76.06800002
1723,-74.57999999
1724,-71.11200001
1725,-63.69599999
1726,-55.74000001
1727,-45.49199999
1728,-34.764
1729,-23.712
1730,-19.356
1731,-15.084
1732,-14.22
1733,-13.512
1734,-12.96
1735,-10.992
1736,-7.608000001
1737,-7.283999999
1738,-5.627999999
1739,-6.9
1740,-9.672000001
1741,-13.908
1742,-14.268
1743,-16.02
1744,-16.56
1745,-15.864
1746,-15.192
1747,-17.064
1748,-16.524
1749,-18.492
1750,-19.32
1751,-18.972
1752,-18.636
1753,-18.312
1754,-17.976
1755,-17.652
1756,-17.328
1757,-15.816
1758,-16.632
1759,-15.144
1760,-14.784
1761,-14.436
1762,-14.088
1763,-13.74
1764,-12.276
1765,-9.647999999
1766,-4.751999999
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,-0.048
1813,-0.947999999
1814,-3.623999999
1815,-4.884000001
1816,-7.583999999
1817,-12.18
1818,-14.256
1819,-7.175999999
1820,-4.235999999
1821,-2.795999999
1822,-4.008000001
1823,-3.3
1824,-8.975999999
1825,-7.044000001
1826,-12.204
1827,-14.604
1828,-15.864
1829,-15.552
1830,-10.932
1831,-9.024
1832,-8.088
1833,-7.656000002
1834,-5.352000001
1835,-2.916000002
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,-1.032
1850,-0.048
1851,0
1852,0
1853,0
1854,-0.479999999
1855,-0.635999999
1856,-0.635999999
1857,-1.128
1858,-1.164000002
1859,-4.332
1860,-2.027999999
1861,-2.123999999
1862,-1.548
1863,-2.928000001
1864,-2.639999999
1865,-1.775999998
1866,-1.811999999
1867,-5.916000001
1868,-9.372
1869,-12.072
1870,-13.92
1871,-13.764
1872,-10.716
1873,-8.099999999
1874,-7.464000001
1875,-8.220000002
1876,-9.048000002
1877,-7.812000001
1878,-4.788
1879,-1.008000002
1880,-0.947999999
1881,0
1882,-1.8
1883,-1.763999999
1884,0
1885,-0.132000002
1886,0
1887,-0.995999999
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,-0.059999999
1939,-1.199999999
1940,-5.028000002
1941,-8.220000002
1942,-6.6
1943,-3.731999998
1944,-3.671999999
1945,-7.031999998
1946,-9.647999999
1947,-9.792
1948,-7.716000001
1949,-4.572000001
1950,-0.587999999
1951,0
1952,0
1953,0
1954,0
1955,0
1956,-1.632000001
1957,-3.288000001
1958,-6.804
1959,-7.884
1960,-10.38
1961,-8.303999999
1962,-9.131999999
1963,-9.216000001
1964,-8.712
1965,-6.696
1966,-7.416
1967,-11.868
1968,-12.732
1969,-7.439999999
1970,-0.312
1971,0
1972,0
1973,0
1974,0
1975,-1.008000002
1976,-4.464000001
1977,-8.567999999
1978,-7.368
1979,-3.768
1980,-1.8
1981,-0.972000001
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,-0.144000001
1994,-0.312
1995,-0.635999999
1996,-0.635999999
1997,-0.635999999
1998,-1.463999999
1999,-1.536000001
2000,-2.495999998
2001,-2.699999999
2002,-3.935999999
2003,-6.636000001
2004,-6.9
2005,-8.927999999
2006,-11.748
2007,-11.916
2008,-12.024
2009,-16.668
2010,-14.184
2011,-12.192
